Lebensmittel; Histamingehalt (mg/kg) oder (mg/l);vertraeglichkeit;biogene Amine (mg/kg);DAO-Hemmer;Histamin-liberatoren;Gehalt an Amino-saeuren (mg/kg);Sonstiges;;;
Schmelzkaese;viel Histamin;4;;;;;;;;
Schokolade;~5;4;Phenylethylamin 70, Tyramin;ja;ja;;;;;
Scholle, frisch/TK;~0,1;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Schwarztee;;4;;ja;ja;;;;;
Schweinefleisch, frisch;0-45;2;Serotonin, Dopamin, Putrescin, Spermidin;;ja;;;;;
Schweinefleisch, gekocht;~6;2;Serotonin, Dopamin, Putrescin, Spermidin;;ja;;;;;
Schweineschnitzel, frisch;~0-22;2;Tyramin 9, Serotonin, Dopamin, Putrescin <1, Spermidin;;ja;;;;;
Schweinsleber;225-450;4;;;ja;;;;;
Schwertfisch, frisch/TK;histaminarm;1;;;;;;;;
Seehecht, frisch/TK;0-2;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Seelachs, frisch/TK;~1;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Seeteufel, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Seezunge, frisch/TK;~12;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Sekt;0,01-0,12;4;Tyramin;ja;ja;;;;;
Sekt (Schlumberger, Austria);histaminarm;2;;;;;;;;
Senf;;3;Spermin, Spermidin;;ja;;;;;
Sesam;;1;Serotonin;;;Histidin 4610, Tryptophan 2900;;;;
Sherry (Jose Estevez, Tio Mateo);histaminarm;2;Tyramin;ja;ja;;;;;
Sojabohnen;;3;ja;ja;ja;Tryptophan 4500;;;;
Sojamehl;~2,4;3;ja;ja;ja;;;;;
Sojapaste (Miso);~6-321;4;ja;ja;ja;;;;;
Sojaprodukte;~6-649;4;ja;ja;ja;;;;;
Sojasauce (Tamari, Shoyu);<10-649;4;Tyramin;ja;ja;;;;;
Soleier;viel Histamin;4;;;;;;;;
Sonnenblumenkerne;;2;;;ja;Histidin 5390, Tryptophan 3100;;;;
Sorbinsaeure/Salze (E 200-203);enthaelt Histamin;3;;;ja;;;;;
Spargel;histaminarm;1;;;;;;;;
Speck;viel Histamin;4;Serotonin, Dopamin, Putrescin, Spermidin;;;;;;;
Spinat;20-60;4;Spermin, Spermidin;;;;;;;
Sprotte;0,5-700;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Stachelbeeren;histaminarm;1;Serotonin;;ja;;Salicylate;;;
Stangenkaese;<10-150;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Steinbei�er, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Steinbutt, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Steinpilz;;4;Tyramin, Serotonin;;;Tryptophan 2600;;;;
Stilton englisch;~150;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Stint, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Stollen;enthaelt Histamin;3;ja;;;;;;;
Streichwurst;~4-150;3;unterschiedlich je nach Art;;ja;;;;;
Sue�molke;;1;;;;Histidin 200;;;;
Swisstaler;~4-2500;4;Tyramin 0-700, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Tafelessig;~0,5 mg/l;4;;;;;;;;
Tartrazin (E 102);enthaelt Histamin;3;;;ja;;;;;
Teriyaki-Sauce;;3;Tyramin;;;;;;;
Thaumatin (E 957);;3;Tyramin;;;;;;;
Thrabenrudazol (E 223);enthaelt Histamin;3;;;;;;;;
Thunfisch, Dose;20-640;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Thunfisch, TK;0-60;3;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Tilapia;viel Histamin;4;;;;;;;;
Tilsiter;<10-60;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Histidin 7400;Aflatoxine (Schimmeltoxine);;;
Tintenfisch, frisch/TK;~2;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Tiroler Speck;20-300;4;;;ja;;;;;
Fisch, TK;0-5, max. 1500;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Fisch, TK, paniert;0-7;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Tofu;enthaelt Histamin;3;ja;ja;ja;;;;;
Tomaten/Paradeiser;11 _ 22;4;Tyramin, Serotonin 12, Octopamin, Putrescin 65, Spermin, Spermidin;;ja;Tryptophan 60;Salicylate;;;
Tomatenketchup;22-119;4;Tyramin, Serotonin;;ja;;Salicylate;;;
Tomatensaft;11 _ 22;4;Tyramin, Serotonin 12, Octopamin, Putrescin 65, Spermin, Spermidin;;;Tryptophan 60;Salicylate;;;
Tonic Water;;3;;;ja;;Chinin;;;
Trauben;~0,3;3;Serotonin 8-10, Tyramin;;ja;;Salicylate;;;
Trockenobst;enthaelt Histamin;4;ja;;;;Sulfite;;;
Vollmilch, pasteurisiert;0,3-3,1;1;;;ja;;Casein;;;
Walnuesse;;4;Tyramin, Serotonin 170-340, Spermin;;ja;Tryptophan 1700;;;;
Wassermelone;~0,1;1;;;ja;;Salicylate;;;
Wei�wein, oesterreich;0,003-0,12;3;Tyramin 1-8;ja;ja;;Salicylate;;;
Weizenbier;0,1-0,3;4;Tyramin1,1-36,4;ja;ja;;Sulfite;;;
Weizenkeime;histaminarm;4;Putrescin 10-140, Spermin 20-140, Spermidin 80-120, Cadaverin 20-230;;;Tryptophan 3300;;;;
Weizenkleie;;3;ja;;;Tryptophan 2500;;;;
Weizenmehl;~4;2;ja;;;;;;;
Weizennudeln;;2;Putrescin, Spermin, Spermidin, Cadaverin;;;Tryptophan;;;;
Wels;viel Histamin;4;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Westfaeler Schinken;38,2-270;4;;;ja;;;;;
Wildspezialitaeten;~924;4;;;;;;;;
Wurst;Bis 650;3;Tyramin bis 1237;;;;;;;
Zander;viel Histamin;4;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Ziegenmilch;;1;;;;Histidin 800;;;;
Zimt;;2;;;ja;;Salicylate;;;
Zitronen;;3;Tyramin;;ja;;Salicylate;;;
Zitronensaeure (E 330);;3;Tyramin;;;;;;;
Zitrusfruechte;;3;Tyramin;;ja;;;;;
Zucchini;histaminarm;1;;;;;;;;
Zucker;histaminarm;1;;;;;;;;
Zwetschgen;;1;Serotonin;;;;;;;
Zwiebeln, frisch;histaminarm;2;;;;;;;;
