Lebensmittel; Histamingehalt (mg/kg) oder (mg/l);vertraeglichkeit;biogene Amine (mg/kg);DAO-Hemmer;Histamin-liberatoren;Gehalt an Amino-saeuren (mg/kg);Sonstiges;;;
Dinkel;histaminarm;1;;;;Tryptophan 1800;;;;
Dinkelnudeln;histaminarm;1;;;;;;;;
Diphenyl (E 231);enthaelt Histamin;3;;;;;;;;
Dorsch, frisch/TK;histaminarm;1;;;;;;;;
Edamer;<10-1500;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Hisitidin 9300, Tryptophan 4000;Aflatoxine (Schimmeltoxine);;;
Eiklar (roh);;2;;;ja;;;;;
Eiwei�;;2;;;ja;;;;;
Emmentaler;5-555, max. 2500;4;Tyramin 0-700, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Tryptophan 4600;Aflatoxine (Schimmeltoxine);;;
Energydrinks;;4;;ja, Theobromin;;;;;;
Erbsen;histaminarm;2;Spermin, Spermidin;;;Tryptophan 1000;;;;
Erdbeeren;;4;Serotonin;;ja;;Lektine, Salicylate;;;
Erdnusscreme;;4;Spermin, Spermidin;;ja;Tryptophan 1700-4500;;;;
Erythrosin (E 127);enthaelt Histamin;3;;;ja;;;;;
Essigessenz;enthaelt Histamin;2;;;;;;;;
Essiggemuese;viel Histamin;4;ja;;ja;;;;;
Estragon;;3;Spermin, Spermidin;;;;;;;
Ethanol (Alkohol);;2;;ja;ja;;;;;
Eukalyptus;;3;Tyramin;;;;;;;
Feige, frisch;;2;Tyramin, Serotonin 13;;;;;;;
Feige, getrocknet;;3;Tyramin;;;Tryptophan 400;;;;
Felchen;viel Histamin;4;;;;;;;;
Fertiggerichte, Fertigwaren;enthaelt Histamin;4;ja;ja;ja;;Salicylate;;;
Fisch, fangfrisch;~0;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Fisch, verdorben;Bis 13000;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Fischkonserven;110-1500;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Fischmarinade;240-2400;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Fischsauce;Bis 500;4;;;;;;;;
Fischstaebchen;~0;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Fleischkonserven;viel Histamin;4;ja;;;;;;;
Flussbarsch;viel Histamin;4;;;;;;;;
Flussbrassen;viel Histamin;4;;;;;;;;
Fontina;<10-100;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Forelle;~333;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Frischkaese, 50% Fett i.Tr.;histaminarm;1;;;;Histidin 4500;;;;
Fruchtgummi (vertraegliche Fruechte);histaminarm;2;ja;;ja;;;;;
Fruchtsaft (Multifrucht);;2;ja;;ja;;Salicylate;;;
Fruechtebrot;enthaelt Histamin;3;ja;;;;;;;
Geheimratskaese;<10;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Gelatine;;2;;;ja;;;;;
Gelborange S (E 110);enthaelt Histamin;3;;;ja;;;;;
Gemuese, eingelegt;;4;ja;;ja;;;;;
Gemuesekonserven;;4;ja;;ja;;Salicylate;;;
